age_years,calendar_year,co2_percent,fck_20_rh_65_mm,fck_30_rh_65_mm,fck_40_rh_65_mm,fck_50_rh_65_mm,fck_30_rh_50_mm,fck_30_rh_80_mm
0,2000,0.036912497,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1,2001,0.037067300,5.492686264,2.932312989,1.877285339,1.328415275,2.895330364,2.029348092
2,2002,0.037283499,7.768811362,4.147381822,2.655150326,1.878835262,4.095074627,2.870253421
3,2003,0.037541098,9.516237554,5.080161144,3.252271543,2.301344603,5.016089644,3.515796358
4,2004,0.037698700,10.989409150,5.866541478,3.755674344,2.657540525,5.792552070,4.060021833
5,2005,0.037890701,12.287898143,6.559640579,4.199344813,2.971460733,6.476909736,4.539690730
6,2006,0.038101001,13.462351866,7.186501520,4.600598452,3.255359487,7.095864644,4.973518585
7,2007,0.038260303,14.542335663,7.762941674,4.969578895,3.516424669,7.665034677,5.372452031
8,2008,0.038473901,15.548318101,8.299838765,5.313224742,3.759551515,8.195160368,5.744019150
9,2009,0.038628003,16.492937948,8.803999370,5.635923958,3.987862629,8.692962449,6.092930527
10,2010,0.038871704,17.387504564,9.281379146,5.941447439,4.204002110,9.164321464,6.423307857
11,2011,0.039094400,18.238482769,9.735490587,6.232075243,4.409601526,9.612705605,6.737582012
12,2012,0.039301599,19.051716910,10.169452505,6.509803421,4.606072967,10.041194352,7.037911408
13,2013,0.039572498,19.832699040,10.586145743,6.776450126,4.794687850,10.452632213,7.326289774
14,2014,0.039754697,20.583482814,10.986767697,7.032833671,4.976055181,10.848201483,7.603545784
15,2015,0.039994910,21.308812439,11.373753118,7.280462632,5.151213427,11.230306206,7.871364440
16,2016,0.040311697,22.011561327,11.748618919,7.520299404,5.320838543,11.600444162,8.130795545
17,2017,0.040576196,22.692355442,12.111792050,7.752664820,5.485185055,11.959036916,8.382134574
18,2018,0.040863196,23.353977553,12.464703882,7.978447491,5.644865694,12.307497789,8.626372128
19,2019,0.041150595,23.997762345,12.808083512,8.198122670,5.800221672,12.646546682,8.864012790
20,2020,0.041438995,24.625116043,13.142681514,8.412170801,5.951592918,12.976924700,9.095576003
21,2021,0.041728696,25.237268348,13.469154401,8.621012203,6.099276870,13.299280078,9.321516117
22,2022,0.042019797,25.835301986,13.788080347,8.825017105,6.243535556,13.614183698,9.542233264
23,2023,0.042312497,26.420179451,14.099973231,9.024514518,6.384601807,13.922142958,9.758083084
24,2024,0.042606897,26.992758615,14.405291135,9.219797762,6.522683212,14.223610162,9.969382597
25,2025,0.042902997,27.553807487,14.704444237,9.411129523,6.657965707,14.518990315,10.176415673
26,2026,0.043201096,28.104022438,14.997804190,9.598747677,6.790617586,14.808650382,10.379439518
27,2027,0.043501196,28.644029540,15.285705358,9.782866355,6.920790414,15.092920512,10.578685536
28,2028,0.043803296,29.174397238,15.568451339,9.963679991,7.048621814,15.372100473,10.774363835
29,2029,0.044107697,29.695648428,15.846321120,10.141367106,7.174238064,15.646465732,10.966667491
30,2030,0.044414294,30.208255364,16.119567016,10.316089337,7.297753602,15.916265424,11.155771124
31,2031,0.044723196,30.712654421,16.388421983,10.487995823,7.419273962,16.181729566,11.341835953
32,2032,0.045033295,31.209227134,16.653090889,10.657218324,7.538892728,16.443060440,11.525003759
33,2033,0.045343497,31.698323350,16.913761714,10.823877809,7.656695864,16.700443659,11.705404639
34,2034,0.045654095,32.180287789,17.170618353,10.988091938,7.772766585,16.954060797,11.883165858
35,2035,0.045965195,32.655437277,17.423829980,11.149969033,7.887181555,17.204078893,12.058404494
36,2036,0.046276996,33.124068006,17.673554638,11.309610235,8.000012321,17.450653999,12.231229926
37,2037,0.046589694,33.586455961,17.919939578,11.467109772,8.111325533,17.693931508,12.401744060
38,2038,0.046903296,34.042855579,18.163120733,11.622554717,8.221182837,17.934045637,12.570040969
39,2039,0.047217896,34.493506214,18.403225881,11.776026876,8.329642122,18.171122554,12.736209084
40,2040,0.047533597,34.938632269,18.640374804,11.927602925,8.436757640,18.405280532,12.900331304
41,2041,0.047850397,35.378442416,18.874678992,12.077354286,8.542579956,18.636629652,13.062484784
42,2042,0.048167395,35.813116167,19.106235348,12.225343544,8.647153675,18.865265596,13.222736589
43,2043,0.048483795,36.242822752,19.335135201,12.371629672,8.750520819,19.091278542,13.381149924
44,2044,0.048799594,36.667735048,19.561470971,12.516271903,8.852723341,19.314759742,13.537788750
45,2045,0.049114996,37.088020026,19.785331687,12.659327178,8.953801500,19.535797104,13.692714680
46,2046,0.049429996,37.503831736,20.006799704,12.800848281,9.053792683,19.754471944,13.845984709
47,2047,0.049744696,37.915317957,20.225953903,12.940885706,9.152732616,19.970862149,13.997653429
48,2048,0.050059195,38.322618666,20.442868999,13.079487277,9.250655138,20.185041490,14.147772545
49,2049,0.050373395,38.725862918,20.657614095,13.216697342,9.347591692,20.397078199,14.296389883
50,2050,0.050687497,39.125178889,20.870257475,13.352559543,9.443573116,20.607039699,14.443552699
51,2051,0.051001395,39.520682589,21.080861282,13.487113772,9.538627703,20.814987350,14.589304001
52,2052,0.051313696,39.912458719,21.289472465,13.620390971,9.632777859,21.020967508,14.733676279
53,2053,0.051622998,40.300585606,21.496134629,13.752419971,9.726044514,21.225023228,14.876699711
54,2054,0.051929193,40.685161872,21.700900695,13.883234791,9.818451822,21.427206764,15.018410922
55,2055,0.052232593,41.066289854,21.903825064,14.012870140,9.910024276,21.627571830,15.158847561
56,2056,0.052533197,41.444061334,22.104956865,14.141357539,10.000784218,21.826166937,15.298043629
57,2057,0.052830994,41.818563731,22.304342911,14.268727029,10.090752948,22.023038307,15.436031522
58,2058,0.053126099,42.189883238,22.502029198,14.395008047,10.179951292,22.218231355,15.572843074
59,2059,0.053418597,42.558101848,22.698059510,14.520228631,10.268399093,22.411789312,15.708508585
60,2060,0.053708496,42.923296527,22.892475041,14.644415207,10.356115082,22.603752855,15.843056564
