year,SSP1-2.6_ppm,SSP2-4.5_ppm,SSP5-8.5_ppm
1980,338.704956055,338.704956055,338.704956055
1981,340.058959961,340.058959961,340.058959961
1982,340.643951416,340.643951416,340.643951416
1983,342.265960693,342.265960693,342.265960693
1984,344.007934570,344.007934570,344.007934570
1985,345.458953857,345.458953857,345.458953857
1986,346.902954102,346.902954102,346.902954102
1987,348.774932861,348.774932861,348.774932861
1988,351.275939941,351.275939941,351.275939941
1989,352.893920898,352.893920898,352.893920898
1990,354.072937012,354.072937012,354.072937012
1991,355.352935791,355.352935791,355.352935791
1992,356.228942871,356.228942871,356.228942871
1993,356.924957275,356.924957275,356.924957275
1994,358.253967285,358.253967285,358.253967285
1995,360.238952637,360.238952637,360.238952637
1996,362.004974365,362.004974365,362.004974365
1997,363.251953125,363.251953125,363.251953125
1998,365.932952881,365.932952881,365.932952881
1999,367.844970703,367.844970703,367.844970703
2000,369.124969482,369.124969482,369.124969482
2001,370.673004150,370.673004150,370.673004150
2002,372.834991455,372.834991455,372.834991455
2003,375.410980225,375.410980225,375.410980225
2004,376.986999512,376.986999512,376.986999512
2005,378.907012939,378.907012939,378.907012939
2006,381.010009766,381.010009766,381.010009766
2007,382.603027344,382.603027344,382.603027344
2008,384.739013672,384.739013672,384.739013672
2009,386.280029297,386.280029297,386.280029297
2010,388.717041016,388.717041016,388.717041016
2011,390.944000244,390.944000244,390.944000244
2012,393.015991211,393.015991211,393.015991211
2013,395.724975586,395.724975586,395.724975586
2014,397.546966553,397.546966553,397.546966553
2015,399.949157715,399.949096680,399.948791504
2016,403.116973877,403.116973877,403.116973877
2017,405.751953125,405.761962891,405.793975830
2018,408.591949463,408.631958008,408.759948730
2019,411.416961670,411.505950928,411.789947510
2020,414.231964111,414.389953613,414.890960693
2021,417.041961670,417.286956787,418.064971924
2022,419.808959961,420.197967529,421.334960938
2023,422.498962402,423.124969482,424.720947266
2024,425.119964600,426.068969727,428.219940186
2025,427.673950195,429.029968262,431.829956055
2026,430.165954590,432.010955811,435.549957275
2027,432.597961426,435.011962891,439.377960205
2028,434.973968506,438.032958984,443.314941406
2029,437.294952393,441.076965332,447.360961914
2030,439.563964844,444.142944336,451.514953613
2031,441.780975342,447.231964111,455.778961182
2032,443.928955078,450.332946777,460.163940430
2033,445.989959717,453.434967041,464.681945801
2034,447.968963623,456.540954590,469.330932617
2035,449.865966797,459.651947021,474.111938477
2036,451.684967041,462.769958496,479.024932861
2037,453.425964355,465.896942139,484.071929932
2038,455.091979980,469.032958984,489.251922607
2039,456.683959961,472.178955078,494.566925049
2040,458.200958252,475.335968018,500.018920898
2041,459.646972656,478.503967285,505.607940674
2042,461.018981934,481.673950195,511.341918945
2043,462.314971924,484.837951660,517.227905273
2044,463.535980225,487.995941162,523.266906738
2045,464.682983398,491.149963379,529.459899902
2046,465.754974365,494.299957275,535.808898926
2047,466.752990723,497.446960449,542.313903809
2048,467.677978516,500.591949463,548.976928711
2049,468.529968262,503.733947754,555.799926758
2050,469.309967041,506.874969482,562.783935547
2051,470.018981934,510.013946533,569.929931641
2052,470.662994385,513.136962891,577.257934570
2053,471.249969482,516.229980469,584.783935547
2054,471.778991699,519.291931152,592.506896973
2055,472.250976562,522.325927734,600.428894043
2056,472.664978027,525.331970215,608.549926758
2057,473.021972656,528.309936523,616.869934082
2058,473.321990967,531.260986328,625.390930176
2059,473.563995361,534.185974121,634.113891602
2060,473.750000000,537.084960938,643.040893555
2061,473.877990723,539.957946777,652.171875000
2062,473.958984375,542.794982910,661.506896973
2063,473.998992920,545.586975098,671.044921875
2064,473.998992920,548.334960938,680.788879395
2065,473.957000732,551.038940430,690.738891602
2066,473.872985840,553.699951172,700.898864746
2067,473.746978760,556.318969727,711.268859863
2068,473.578002930,558.894958496,721.850891113
2069,473.364990234,561.430969238,732.647888184
2070,473.109985352,563.924987793,743.661865234
2071,472.811004639,566.379943848,754.892883301
2072,472.458007812,568.771972656,766.322875977
2073,472.040985107,571.082946777,777.929870605
2074,471.561004639,573.313964844,789.718872070
2075,471.018005371,575.465942383,801.690856934
2076,470.414001465,577.539978027,813.847900391
2077,469.748992920,579.536987305,826.192871094
2078,469.022003174,581.457946777,838.726867676
2079,468.235992432,583.303955078,851.451843262
2080,467.390014648,585.073974609,864.368896484
2081,466.484008789,586.769958496,877.479858398
2082,465.536010742,588.377990723,890.708862305
2083,464.561004639,589.885986328,903.980895996
2084,463.558013916,591.295959473,917.300842285
2085,462.527008057,592.608947754,930.670837402
2086,461.466003418,593.824951172,944.091857910
2087,460.375000000,594.944946289,957.566894531
2088,459.255004883,595.969970703,971.095886230
2089,458.104003906,596.899963379,984.680847168
2090,456.924011230,597.734985352,998.320861816
2091,455.713012695,598.476989746,1012.019836426
2092,454.502014160,599.149963379,1025.739868164
2093,453.319000244,599.776000977,1039.449829102
2094,452.160003662,600.354980469,1053.149902344
2095,451.024017334,600.885986328,1066.849853516
2096,449.908996582,601.365966797,1080.529907227
2097,448.812011719,601.796997070,1094.209838867
2098,447.734008789,602.177001953,1107.889892578
2099,446.671997070,602.505004883,1121.549926758
2100,445.625000000,602.781982422,1135.209838867
