time,sample,n_simulations,P_failure,g_mean,g_std,g_min,g_max,carb_depth_mean,carb_depth_std,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
0,1,1000,0.0,18.002497510504483,0.07311526929515982,17.69327130563396,18.124924788067215,0.28012190997701714,0.07311526929515978,18.025925127010137,15.285603790832077,0.11177202788042055,0.8472121989897592
10,1,1000,0.0,12.995619050771808,0.1072834800287569,12.601272814416937,13.403466145175596,5.287000369709691,0.10728348002875694,13.001392881915761,14.070719580912701,0.06799974036695391,0.169470946961037
20,1,1000,0.0,11.137654614987138,0.18121598372199305,10.593109306244852,11.62520701797795,7.144964805494361,0.18121598372199307,11.146374115311538,7.614341527978964,0.13337275737190232,0.22559689110368317
30,1,1000,0.0,9.640965260039128,0.1716765627832261,9.11611141726293,10.088454621344573,8.641654160442373,0.1716765627832261,9.648390850756373,8.393491669750292,0.10754826771368962,0.18967099062473455
40,1,1000,0.0,8.267020882474265,0.21300214731820932,7.4719731177074475,8.818408698878011,10.015598538007234,0.21300214731820932,8.282218156008948,6.371015900244019,0.12630961456998402,0.2641693417648136
50,1,1000,0.0,6.934770589219558,0.2807063775704731,6.038938196553998,7.67926730792033,11.347848831261942,0.2807063775704732,6.948972746350716,4.942815088010702,0.12747476344813163,0.2243810873994342
60,1,1000,0.0,5.711242781421661,0.3166722772695449,4.5846723935330775,6.725862057069834,12.571376639059837,0.3166722772695449,5.7192466194989935,4.490968592372608,0.13190614836953932,0.17991248052646028
70,1,1000,0.0,4.780726151504197,0.3294675003919091,3.518000886805515,5.753771739684128,13.501893268977302,0.3294675003919091,4.793384219564045,4.389776278464523,0.10908758191960888,0.18192697189148174
80,1,1000,0.0,3.8502796358144913,0.32850406561440915,2.8187780232893562,4.910046800585137,14.43233978466701,0.32850406561440915,3.8487646138414457,4.3148737638367205,0.1617144598857352,0.1529585733659533
90,1,1000,0.0,2.9728720265339854,0.2955044682020608,2.084780400685613,3.941117571215722,15.309747393947513,0.29550446820206083,2.9787927320575585,4.842107009232835,0.13234459971216014,0.1703370597232556
100,1,1000,0.0,2.1844308204574037,0.30156624315895836,1.0125316038119898,2.9570420773440933,16.098188600024095,0.30156624315895836,2.193161925645765,4.864765028301138,0.10751810653328707,0.16218933196868782
0,2,1000,0.0,16.003048706685128,0.04592515188796812,15.845576136415156,16.118530676327754,0.31357737868374014,0.04592515188796812,16.006476609467818,28.96401905649178,0.13783301867380396,0.2827457984094971
10,2,1000,0.0,8.804335931857484,0.1156468663430717,8.482104316965128,9.08898575245884,7.5122901535113815,0.11564686634307168,8.80774979298532,10.895223344384773,0.21526799254514214,0.27280065293327377
20,2,1000,0.0,5.900543201152383,0.19968068186007223,5.184785404371032,6.681308876169192,10.416082884216484,0.19968068186007223,5.899365546214029,5.832995544782837,-0.004446233678224303,-0.0011226853612802056
30,2,1000,0.0,3.4843602291690914,0.2918797808352718,2.4074188315592853,4.435201313551854,12.832265856199774,0.2918797808352718,3.4782257385520388,5.130717169535844,0.14014377449462637,0.10064676908589212
40,2,1000,0.0,1.3329004620100093,0.3454411820926464,0.10051173125302526,2.5335747324758717,14.983725623358856,0.34544118209264646,1.3272854118587216,4.000652130515386,0.19101607235593193,0.15998098852067982
50,2,1000,0.849,-0.38636734477643625,0.3797689668149921,-1.5698948698599544,0.7487181019569942,16.702993430145302,0.3797689668149921,-0.38697319756999027,3.9717273335017826,0.11644610854497034,0.11345482964093878
60,2,1000,1.0,-2.0461133675706864,0.39970380752506135,-3.622312788836645,-0.7431086858845148,18.362739452939554,0.39970380752506135,-2.0225980341484417,3.838061389971399,0.05361839867100183,0.16433827103636106
70,2,1000,1.0,-3.707601537857796,0.43636235154356584,-5.076660522770705,-2.6409161951117035,20.024227623226665,0.43636235154356584,-3.67453773615974,3.008012711693269,0.14644077858631777,0.2939815989753655
80,2,1000,1.0,-5.1669301779510315,0.45574841549248446,-6.612458306129273,-3.9432806027226484,21.4835562633199,0.45574841549248446,-5.159841684424913,3.0577643586849486,0.15474177101626901,0.1843857160344334
90,2,1000,1.0,-6.668272572942733,0.4921593364609252,-8.29785340570837,-5.273769195239215,22.9848986583116,0.4921593364609252,-6.66218355093498,2.8995656001529233,0.14110336253755437,0.1645655999672016
100,2,1000,1.0,-8.156493327843888,0.548644154201186,-9.570741217592783,-6.348191553827803,24.473119413212757,0.548644154201186,-8.203991466975042,2.387331512159832,0.3087422233506289,0.1396190438864899
