time,n_samples,P_failure,g_mean,g_std,R_mean,S_mean,lambda_1_mean,lambda_2_mean,lambda_3_mean,lambda_4_mean
0,10000,0.001,12.828957695266778,3.8410396489974112,44.476064838864005,31.647107143597225,12.963098150893115,0.36722141781275586,0.15231324139106192,0.2215391007728067
10,10000,0.0013,12.879457229561089,3.876477158290581,44.51063757512116,31.631180345560075,13.029489136481919,0.35905733558575226,0.15973059195141115,0.2362418115824737
20,10000,0.0338,11.472185803159583,5.121063510167353,43.10867900730911,31.636493204149524,11.613147880741002,0.3573143283303495,0.15239516660557334,0.22420227141428467
30,10000,0.204,8.057888746983103,7.9617055180368475,39.764684508757234,31.70679576177414,8.12607222404557,0.35943641516012675,0.15812068571099402,0.19849250644879357
40,10000,0.3644,4.914422731719053,10.335974921763611,36.557321758956505,31.64289902723746,4.998486098431657,0.36645034569208745,0.16373421066141472,0.2172454474456796
50,10000,0.4444,2.0641309350502155,11.950549692382168,33.71124932920353,31.647118394153313,2.1122449922005746,0.3685014806658697,0.17442173502882058,0.20827862092223737
60,10000,0.5146,-0.7937975687653993,13.277650441166733,30.882047495150125,31.675845063915528,-0.815286555533685,0.36188938174869556,0.2455118458899217,0.22414398886242828
70,10000,0.5918,-3.802297303076378,13.991450754802152,27.82354159142917,31.62583889450555,-3.663634847748626,0.36065715073383287,0.21465825495193494,0.22788805033486756
80,10000,0.6616,-6.816597824020423,14.40145772522639,24.814248648961463,31.630846472981887,-6.816444815494065,0.3621105496496754,0.20529003869331927,0.22184972357013158
90,10000,0.7381,-9.879953939906379,14.341887816470939,21.748888526325526,31.6288424662319,-10.024542946379036,0.360257752958066,0.34253371079372136,0.24254555024660532
100,10000,0.7913,-12.666543878818816,14.142834384442578,18.999855077479868,31.66639895629868,-12.620702208467453,0.36500605760797206,0.2733728289809606,0.2915065523522362
